MONTH,BOROUGH,BOROUGH_ID,COMMUNITYDISTRICT,BORO_CD,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2021 / 03,Manhattan,1,12,112,5074.6,504.5,553.9
2021 / 03,Bronx,2,01,201,2324.2,176,183.1
2021 / 03,Bronx,2,02,202,1710.1,123.9,146.9
2021 / 03,Bronx,2,03,203,2298.9,193.1,239.3
2021 / 03,Bronx,2,04,204,4341.1,326.3,425
2021 / 03,Bronx,2,05,205,3715.8,270.8,409.7
2021 / 03,Bronx,2,06,206,2530.2,267.4,271.7
2021 / 03,Bronx,2,07,207,3978.8,375.5,593.2
2021 / 03,Bronx,2,08,208,2507.8,362.3,425.6
2021 / 03,Bronx,2,09,209,4039.9,268.5,413.4
2021 / 03,Bronx,2,10,210,2779.9,323.4,413.2
2021 / 03,Bronx,2,11,211,3306.4,325.1,380.6
2021 / 03,Bronx,2,12,212,4260.8,404.7,638.8
2021 / 03,Brooklyn,3,01,301,6118.5,793.8,569.7
2021 / 03,Brooklyn,3,02,302,2653,545.2,455.2
2021 / 03,Brooklyn,3,03,303,4691.7,490.6,481.8
2021 / 03,Brooklyn,3,04,304,3543.2,335.1,422.1
2021 / 03,Brooklyn,3,05,305,5153.2,345,511.2
2021 / 03,Brooklyn,3,06,306,2374,580.7,456
2021 / 03,Brooklyn,3,07,307,3534.9,442,439.1
2021 / 03,Brooklyn,3,08,308,2915,382.6,364.8
2021 / 03,Brooklyn,3,09,309,3211.2,308.9,278.2
2021 / 03,Brooklyn,3,10,310,3611.7,499.6,507.3
2021 / 03,Brooklyn,3,11,311,5462.8,585.2,584.2
2021 / 03,Brooklyn,3,12,312,6947.9,739.4,432.8
2021 / 03,Brooklyn,3,13,313,2253.4,204.7,260.2
2021 / 03,Brooklyn,3,14,314,5054.1,518.9,479.7
2021 / 03,Brooklyn,3,15,315,4853.2,587,575.5
2021 / 03,Brooklyn,3,16,316,2427.7,123.6,196.8
2021 / 03,Brooklyn,3,17,317,4746.6,351.2,490.7
2021 / 03,Brooklyn,3,18,318,5901.4,585.5,666.2
2021 / 03,Queens,4,01,401,4285.6,669.3,714.4
2021 / 03,Queens,4,02,402,3272.5,461.2,458.9
2021 / 03,Queens,4,03,403,5383.3,397.6,553
2021 / 03,Queens,4,04,404,4330.1,364.1,579.1
2021 / 03,Queens,4,05,405,5193.9,645.4,801.2
2021 / 03,Queens,4,06,406,2973.7,421,432.6
2021 / 03,Queens,4,07,407,6926.8,798,810.3
2021 / 03,Queens,4,08,408,3838.5,481.6,462.6
2021 / 03,Queens,4,09,409,4345.3,450.3,638.9
2021 / 03,Queens,4,10,410,3975.8,384.4,610.8
2021 / 03,Queens,4,11,411,3110.5,469,481.4
2021 / 03,Queens,4,12,412,7119.8,544.6,952
2021 / 03,Queens,4,13,413,5640,455.7,950.8
2021 / 03,Queens,4,14,414,3227.1,257.6,296.9
2021 / 03,Staten Island,5,01,501,5940.9,640.8,788.3
2021 / 03,Staten Island,5,02,502,4538.7,557.1,620
2021 / 03,Staten Island,5,03,503,6151.9,760.8,758.3
2021 / 02,Manhattan,1,01,101,1121.1,322.5,229.1
2021 / 02,Manhattan,1,02,102,1656.5,385.4,282.3
2021 / 02,Manhattan,1,03,103,2458.4,324.6,294.9
2021 / 02,Manhattan,1,04,104,2041.3,453.7,342
2021 / 02,Manhattan,1,05,105,1076.1,235.2,166
2021 / 02,Manhattan,1,06,106,2328,484.4,395.4
2021 / 02,Manhattan,1,07,107,3772.9,886.2,715.9
2021 / 02,Manhattan,1,08,108,4054.5,948.6,725.7
2021 / 02,Manhattan,1,09,109,1875.7,227.8,242.3
2021 / 02,Manhattan,1,10,110,2335,241.5,231.5
2021 / 02,Manhattan,1,11,111,1920.2,198.2,180.9
2021 / 02,Manhattan,1,12,112,4200.4,425.7,471
